Designator,Mid X,Mid Y,Rotation,Layer
C1,132.971937,-96.2105,90.0,bottom
C10,131.394937,-84.1875,60.0,bottom
C11,134.618937,-87.0875,270.0,top
C12,130.294937,-80.3625,90.0,top
C13,131.894937,-80.3625,90.0,top
C14,133.494937,-80.3625,90.0,top
C15,144.794937,-81.3875,180.0,bottom
C2,134.921937,-96.2105,90.0,bottom
C3,122.494937,-94.2375,180.0,bottom
C4,128.344937,-80.3875,180.0,bottom
C5,144.694937,-75.7875,0.0,bottom
C6,153.108937,-75.9905,270.0,bottom
C7,130.294937,-83.3875,270.0,top
C8,131.894937,-83.3875,270.0,top
C9,133.518937,-83.3875,270.0,top
D1,183.594937,-82.6875,0.0,top
J1,128.978937,-89.4655,90.0,bottom
J2,137.144937,-73.3875,0.0,top
J3,135.019937,-90.7355,270.0,bottom
J4,112.468937,-87.6875,90.0,bottom
J5,120.088937,-91.2435,0.0,bottom
J6,176.789937,-80.9825,90.0,bottom
JP3,150.060937,-77.5275,270.0,bottom
R1,118.994937,-93.7875,0.0,bottom
R2,132.094937,-77.5875,0.0,top
R3,137.868937,-87.9355,0.0,bottom
R4,128.594937,-81.8875,0.0,bottom
R5,128.594937,-83.3875,180.0,bottom
R6,153.108937,-79.0905,270.0,bottom
R7,133.094937,-87.0875,270.0,top
R8,118.994937,-81.0875,0.0,bottom
SW1,180.344937,-90.4375,0.0,top
SW2,168.094937,-87.6875,0.0,top
U1,126.965937,-97.3505,270.0,bottom
U2,131.144937,-78.9875,270.0,bottom
U3,176.916937,-75.4375,90.0,bottom
U4,137.068937,-80.7915,270.0,bottom
Y1,144.694937,-78.5875,0.0,bottom
